-55,8484.800,8964.620,9470.630,5.644,-5.352,0.734,-0.696
-54,7915.200,8356.940,8822.450,5.570,-5.285,0.730,-0.693
-53,7386.570,7793.360,8221.730,5.496,-5.219,0.726,-0.690
-52,6895.810,7270.520,7664.830,5.423,-5.153,0.722,-0.686
-51,6440.060,6785.320,7148.380,5.350,-5.088,0.718,-0.683
-50,6016.690,6334.910,6669.280,5.278,-5.023,0.714,-0.679
-49,5623.280,5916.640,6224.680,5.206,-4.958,0.709,-0.676
-48,5257.570,5528.100,5811.960,5.134,-4.893,0.705,-0.672
-47,4917.500,5167.040,5428.700,5.063,-4.829,0.701,-0.668
-46,4601.180,4831.420,5072.670,4.993,-4.765,0.696,-0.664
-45,4306.830,4519.330,4741.830,4.923,-4.701,0.692,-0.660
-44,4032.850,4229.010,4434.280,4.853,-4.638,0.687,-0.656
-43,3777.730,3958.870,4148.280,4.784,-4.575,0.682,-0.652
-42,3540.080,3707.390,3882.230,4.715,-4.512,0.677,-0.648
-41,3318.640,3473.220,3634.640,4.647,-4.450,0.673,-0.644
-40,3112.230,3255.090,3404.160,4.579,-4.388,0.668,-0.640
-39,2919.760,3051.810,3189.520,4.512,-4.326,0.663,-0.636
-38,2740.230,2862.320,2989.560,4.445,-4.265,0.658,-0.631
-37,2572.690,2685.610,2803.210,4.378,-4.204,0.653,-0.627
-36,2416.310,2520.770,2629.480,4.312,-4.143,0.648,-0.623
-35,2270.280,2366.930,2467.450,4.246,-4.083,0.643,-0.618
-34,2133.870,2223.320,2316.290,4.181,-4.023,0.638,-0.613
-33,2006.390,2089.200,2175.210,4.116,-3.963,0.632,-0.609
-32,1887.230,1963.910,2043.500,4.052,-3.904,0.627,-0.604
-31,1775.800,1846.810,1920.480,3.988,-3.845,0.622,-0.599
-30,1671.560,1737.340,1805.530,3.925,-3.786,0.616,-0.594
-29,1574.010,1634.960,1698.100,3.861,-3.727,0.611,-0.589
-28,1482.690,1539.180,1597.650,3.799,-3.669,0.605,-0.584
-27,1397.170,1449.530,1503.700,3.736,-3.612,0.600,-0.579
-26,1317.060,1365.600,1415.790,3.675,-3.554,0.594,-0.574
-25,1241.980,1287.000,1333.500,3.613,-3.497,0.588,-0.569
-24,1171.600,1213.350,1256.450,3.552,-3.440,0.582,-0.564
-23,1105.600,1144.320,1184.280,3.492,-3.383,0.576,-0.559
